game_pk,date,play_id,hp_umpire,challenge_team_id,challenger_type,is_batter,is_overturned,edge_distance,inning,half_inning,pre_balls,pre_strikes,call_name
823457,2026-06-04,2f2a46ce-5273-3683-87a4-e6128900b6b0,Vic Carapazza,135,batter,True,False,0.14607363118027816,7,top,0,1,Strike
823457,2026-06-04,b1f435a5-8c92-3d79-a668-9e0c5ef362f2,Vic Carapazza,135,batter,True,False,0.21023406129297784,8,top,1,1,Strike
823457,2026-06-04,5ef4e1cd-c98d-379e-bda4-b20f8f79cae3,Vic Carapazza,135,catcher,False,True,0.19166521107927936,3,bottom,0,0,Strike
823457,2026-06-04,fcd10f2f-cf9e-3ad8-aa83-10988a2d23fd,Vic Carapazza,143,batter,True,False,0.055622951790969655,4,bottom,0,2,Strike
823457,2026-06-04,9aa7dfbe-47b3-3712-8781-b8b664e0df3c,Vic Carapazza,143,batter,True,False,0.08192721328939634,7,bottom,2,0,Strike
824753,2026-06-04,94ea2829-2d8b-391e-a829-1e207f15853b,Marvin Hudson,111,catcher,False,True,0.13920756153686387,1,top,2,1,Strike
824753,2026-06-04,49822058-576b-33fb-b3dc-213e38c21bed,Marvin Hudson,111,catcher,False,True,0.018662613789141247,1,top,0,2,Strike
824753,2026-06-04,4c705d2f-61f4-382d-8913-b002f0dccac5,Marvin Hudson,110,batter,True,True,0.17388677591151103,8,top,0,0,Ball
824753,2026-06-04,b5df56b1-5ecf-311e-8f58-23c900fae04f,Marvin Hudson,110,batter,True,True,0.03113142314641583,9,top,0,0,Ball
824753,2026-06-04,c7e17481-6ebb-3f91-ab0d-c1f0db56c725,Marvin Hudson,111,batter,True,True,0.11618807805061794,3,bottom,0,0,Ball
824753,2026-06-04,e8644dea-c715-33bf-aafe-20651e635091,Marvin Hudson,111,batter,True,False,0.44170577327904004,6,bottom,1,1,Strike
824753,2026-06-04,cd3cb17e-1dbb-3870-9c72-dd3c9a586e83,Marvin Hudson,111,batter,True,False,0.3380991340146404,8,bottom,1,1,Strike
823542,2026-06-04,30e9e17d-e98a-34d4-80ad-acb8f0c01875,James Jean,147,catcher,False,False,0.06384236305307402,2,top,0,1,Ball
823542,2026-06-04,e33c826c-997d-33bf-a22d-ac7b4e488cb9,James Jean,147,pitcher,False,True,0.004927903267387679,3,top,1,2,Strike
823542,2026-06-04,a7ecf589-ed71-375b-9e0e-1d38ac6c3412,James Jean,114,batter,True,False,0.04718774879481291,4,top,2,2,Strike
823542,2026-06-04,369437d0-9947-3b3b-b437-3dea94b963a6,James Jean,147,catcher,False,False,0.13063522927746107,9,top,0,1,Ball
823542,2026-06-04,68672931-77cb-323f-a57f-92820d6c5a9a,James Jean,114,catcher,False,True,0.057752275567705014,8,bottom,1,2,Strike
823779,2026-06-04,358289c1-68f4-3b99-ba80-9d2c9fc8bd97,Edwin Jimenez,158,catcher,False,False,0.03561049822680608,6,top,1,0,Ball
823779,2026-06-04,a0b03498-3c3b-3603-b1d1-ca780fab7b8e,Edwin Jimenez,137,batter,True,True,0.013108059111543127,7,top,2,1,Ball
823779,2026-06-04,6b712982-3ed9-3673-b4b8-21543b9de7b1,Edwin Jimenez,158,batter,True,True,0.02237980914330208,1,bottom,0,2,Ball
823779,2026-06-04,b2c425ec-68e5-3ee1-84f1-4468a0713863,Edwin Jimenez,158,batter,True,True,0.04162552926033726,3,bottom,1,0,Ball
823779,2026-06-04,d2d335ce-449f-3511-8c05-ad9b8ae2b861,Edwin Jimenez,158,batter,True,False,0.3080256589022563,8,bottom,0,1,Strike
824919,2026-06-04,d647015d-3a19-3e30-a4d9-20cabb45d90d,Carlos Torres,141,batter,True,False,0.060776695488364285,3,top,2,0,Strike
824919,2026-06-04,c4914fcb-1704-3989-a5b5-d39e011e2066,Carlos Torres,144,catcher,False,True,0.043711288664383674,4,top,1,0,Strike
824919,2026-06-04,73194ce3-2b26-3ca1-b435-7fa4813cb30b,Carlos Torres,144,catcher,False,False,0.0068616232608076505,9,top,0,0,Ball
824919,2026-06-04,3914acf5-5b07-345c-af3d-74c5512f1c4c,Carlos Torres,144,catcher,False,False,0.10708915381481889,9,top,3,1,Ball
824919,2026-06-04,bd76eb2f-bcd1-369a-b3bb-2719153f8d21,Carlos Torres,144,batter,True,True,0.1117571992190154,8,bottom,0,0,Ball
823698,2026-06-04,e4582f8a-78ee-38d1-8b3e-77f33ee3f820,Dan Merzel,142,catcher,False,True,0.025132432688649065,8,top,1,0,Strike
823698,2026-06-04,6f366183-32f4-33d2-96f8-17ab222d725c,Dan Merzel,142,batter,True,False,0.037340775850541075,5,bottom,0,1,Strike
823698,2026-06-04,92011a17-e0be-336d-9536-d2046798d724,Dan Merzel,118,catcher,False,False,0.023183367567306337,6,bottom,1,0,Ball
824672,2026-06-04,19a7992f-fd75-33a5-bee7-daa33ad46804,Steven Jaschinski,112,catcher,False,True,0.17212006384822676,4,top,2,2,Strike
824672,2026-06-04,0a14efd6-3629-3e4f-924f-c49a7f7afa5a,Steven Jaschinski,112,batter,True,True,0.1257906723233294,5,bottom,1,1,Ball
824672,2026-06-04,cb2b46f5-1df5-3567-96f3-bc15908532db,Steven Jaschinski,133,catcher,False,False,0.0708036823140153,7,bottom,2,0,Ball
824185,2026-06-04,d4a19bf7-5b64-3c23-bea1-11382fa4d3f2,David Rackley,117,batter,True,False,0.19478047053062608,7,bottom,2,1,Strike
825076,2026-06-04,e864ddba-5331-3cb7-9923-ff8305856dd8,Jordan Baker,119,catcher,False,True,0.1309576227271888,6,bottom,0,0,Strike
825076,2026-06-04,0c3e165b-90df-31ed-bf91-eafdf07f8856,Jordan Baker,119,catcher,False,True,0.18290473684872854,6,bottom,0,1,Strike
825076,2026-06-04,c71e6ac3-51ae-3b8b-ab41-53c1cf6fb697,Jordan Baker,109,batter,True,True,0.06221229604790386,7,bottom,1,0,Ball
825076,2026-06-04,2e25d8a2-e080-3f08-909e-611385e6bfd1,Jordan Baker,119,catcher,False,True,0.08547455281039318,7,bottom,2,2,Strike
824271,2026-06-05,099483ce-c7d4-3fb6-94e2-4a62318f8675,Erich Bacchus,136,batter,True,False,0.17691525711355438,1,top,0,1,Strike
824271,2026-06-05,083afd22-14b0-3150-8a37-a75e07719292,Erich Bacchus,136,batter,True,False,0.20655642583981626,5,top,1,0,Strike
823455,2026-06-05,b233fd64-321a-3f25-9f1c-89ff37787e5a,Roberto Ortiz,143,catcher,False,True,0.2734008065744836,2,top,0,0,Strike
823455,2026-06-05,637cece7-da92-318a-959f-6ae65737f2e5,Roberto Ortiz,145,batter,True,False,0.04022240057852855,4,top,1,1,Strike
823455,2026-06-05,313a9aea-26ff-330a-81fd-e1d2ba48d1c7,Roberto Ortiz,143,catcher,False,True,0.14218908757518534,5,top,0,0,Strike
823455,2026-06-05,a62ddc05-952d-39a9-88d9-c5fc0a1b978a,Roberto Ortiz,143,catcher,False,False,0.022856707592066164,6,top,1,0,Ball
823455,2026-06-05,8e2af9d6-8076-3aa0-8edc-61c824627119,Roberto Ortiz,145,catcher,False,False,0.15228481778322966,2,bottom,1,1,Ball
823538,2026-06-05,6646461f-e619-3553-b40d-e5fc60ff593f,Sean Barber,111,batter,True,True,0.25386088957649533,3,top,0,0,Ball
823538,2026-06-05,cbf6982a-184f-3630-a96a-59043de343f7,Sean Barber,111,batter,True,True,0.016601092908406848,3,top,1,0,Ball
823538,2026-06-05,9d8c098e-aaa9-36be-b512-a834cff7cd13,Sean Barber,147,catcher,False,True,0.10043681206100874,5,top,0,0,Strike
823538,2026-06-05,ce61df1b-2b4f-337a-a82e-8526511109e2,Sean Barber,111,catcher,False,False,0.11427818431419991,7,bottom,0,2,Ball
822810,2026-06-05,d2712b63-cee0-337a-a50f-446efbfc3c0d,Nic Lentz,110,pitcher,False,False,0.12884642219007914,8,bottom,2,2,Ball
823860,2026-06-05,a7a86bc1-9fa8-3b34-b76d-d0bd7c3d683f,Jacob Metz,146,catcher,False,True,0.03016057650354298,1,top,1,1,Strike
823860,2026-06-05,1a80907e-934b-3876-8bfa-213c885a4554,Jacob Metz,146,batter,True,True,0.2074904383866697,4,bottom,1,2,Ball
823860,2026-06-05,4d38cc11-09f1-3c52-b18e-f3921d2fb810,Jacob Metz,139,catcher,False,False,0.2661155299571636,7,bottom,0,0,Ball
824914,2026-06-05,fd502321-ff3f-360d-944b-20d4a656b72e,Ramon De Jesus,134,batter,True,False,0.05608307364503484,1,top,3,2,Strike
824914,2026-06-05,6ab2f30b-add1-3891-8001-2b44329f022f,Ramon De Jesus,144,catcher,False,True,0.13671569760908953,2,top,2,2,Strike
824914,2026-06-05,0427d0e7-cc9a-3b99-b834-9c8cc7b42f70,Ramon De Jesus,144,pitcher,False,False,0.11047890719072419,3,top,0,0,Ball
824914,2026-06-05,214036a6-f3ab-3f74-a0b9-c6d15b04cca1,Ramon De Jesus,144,catcher,False,True,0.0093568798807101,9,top,0,1,Strike
824914,2026-06-05,ee46af8c-7740-3e17-80da-4408acb079ee,Ramon De Jesus,144,catcher,False,True,0.04549114979640856,9,top,0,1,Strike
824914,2026-06-05,89bcae07-e33d-3b4a-85df-5326c0abfa11,Ramon De Jesus,134,batter,True,True,0.07111973378345572,9,top,0,0,Ball
824914,2026-06-05,2fa45d53-3996-359b-a9b4-796fd6b5e2df,Ramon De Jesus,134,catcher,False,True,0.3118926767392759,6,bottom,0,1,Strike
824914,2026-06-05,c3268450-bde4-34b2-888b-01a3545c663f,Ramon De Jesus,144,batter,True,True,0.25690131337506217,8,bottom,2,2,Ball
824186,2026-06-05,235d7d35-3ec6-31ce-ba50-df41cf3479be,Nick Mahrley,117,catcher,False,True,0.1073407193889585,3,top,0,1,Strike
824186,2026-06-05,270c72ba-6932-3504-8588-ad9aa7fed782,Nick Mahrley,117,catcher,False,False,0.06919762528986241,8,top,3,2,Ball
824186,2026-06-05,e77abaac-3af3-3468-8f59-e30d1c316f13,Nick Mahrley,133,catcher,False,False,0.026085812873753014,5,bottom,3,2,Ball
824186,2026-06-05,1f13bdc3-3a98-3b12-93c3-ff7b2ab7ca81,Nick Mahrley,117,batter,True,True,0.03173060987116329,7,bottom,2,2,Ball
823049,2026-06-05,7207bb8b-8793-3447-b43e-42edea101296,Chris Conroy,113,batter,True,True,0.02573524992894917,8,top,2,0,Ball
823049,2026-06-05,8d950185-556c-364a-be6e-1492e2ef25c1,Chris Conroy,113,catcher,False,False,0.006592137973266424,2,bottom,1,1,Ball
823049,2026-06-05,6a612d41-a01f-38fc-a92c-868158334c22,Chris Conroy,113,catcher,False,True,0.11281316908271388,2,bottom,0,1,Strike
823049,2026-06-05,dc23a2fd-7ee4-31ed-a469-4857c96237f4,Chris Conroy,138,batter,True,False,0.12296981724328782,6,bottom,3,1,Strike
822892,2026-06-05,b4359614-4045-390d-83c9-7cc4b68b27eb,Nestor Ceja,114,batter,True,False,0.20732121306711881,8,top,2,2,Strike
822892,2026-06-05,c0149f4a-5cea-34aa-88c7-70da143c331b,Nestor Ceja,114,batter,True,True,0.1090810606380004,9,top,1,1,Ball
823699,2026-06-05,00dd4625-7c67-3caa-a016-cd898d214754,Dan Bellino,142,catcher,False,False,0.015343690512532829,1,top,0,0,Ball
823699,2026-06-05,e13683ef-23d2-3190-b8e7-5c9a85a4421d,Dan Bellino,142,catcher,False,True,0.03745327318868841,1,top,0,1,Strike
823699,2026-06-05,4023af9a-9b50-3add-ad0a-1b64022eb86b,Dan Bellino,118,batter,True,True,0.13023108309211606,2,top,3,2,Ball
823699,2026-06-05,7dc84d82-9030-3ede-a8c8-1aaf28ddd27b,Dan Bellino,142,batter,True,True,0.06587556149951158,8,bottom,1,2,Ball
824350,2026-06-05,45932562-44cd-3037-a379-1f5f73fa80b0,Rob Drake,115,catcher,False,False,0.0714675441925783,2,top,3,2,Ball
824350,2026-06-05,642d7d3a-e961-3ff3-a42e-18c91868e23a,Rob Drake,158,batter,True,True,0.22452321187977586,9,top,0,0,Ball
824350,2026-06-05,eaa2297b-0cbe-35f3-bc5e-9eb7df4777e6,Rob Drake,115,batter,True,True,0.13816293144381098,9,bottom,0,0,Ball
824350,2026-06-05,f3ca9aca-c22a-3a50-b290-a346c3b40a7c,Rob Drake,158,catcher,False,True,0.13417417133725462,9,bottom,0,1,Strike
824350,2026-06-05,fc342f26-2f90-3f5c-977e-089ae802fd96,Rob Drake,115,batter,True,True,0.0313063343669986,10,bottom,1,0,Ball
825073,2026-06-05,fecda897-7568-37a1-963b-032778790b04,Ron Kulpa,109,catcher,False,True,0.16457616413046072,1,top,2,1,Strike
825073,2026-06-05,04cfbc6b-49c5-35aa-966a-e05996fcc697,Ron Kulpa,109,catcher,False,False,0.008659351934750328,4,top,0,0,Ball
825073,2026-06-05,eb49ef9e-2910-32d4-be03-fa5a40282423,Ron Kulpa,120,batter,True,False,0.00589587633943367,7,top,3,2,Strike
823293,2026-06-05,1408f0d0-c517-3886-a7d3-d9041a3319ca,Chad Whitson,121,batter,True,False,0.11704636196323392,6,top,1,2,Strike
823943,2026-06-05,500ecc34-d9ac-36fb-a828-3ec71cff434a,Jen Pawol,119,catcher,False,True,0.12477765350570336,8,top,1,0,Strike
823943,2026-06-05,a3ff059d-91b2-3319-9e80-5b783a54cd68,Jen Pawol,119,catcher,False,False,0.09720340176572785,9,top,0,2,Ball
823943,2026-06-05,56547281-99f0-34db-9860-77236148edd6,Jen Pawol,108,catcher,False,False,0.120274349280882,3,bottom,1,1,Ball
823943,2026-06-05,d137b2c0-4d95-38bd-aaac-020c704bb582,Jen Pawol,108,catcher,False,True,0.3530439946242465,3,bottom,3,2,Strike
823943,2026-06-05,b66c4c21-4307-3db6-88b4-646578d598fd,Jen Pawol,108,catcher,False,True,0.007715771760702705,4,bottom,0,1,Strike
823943,2026-06-05,59e7e024-7a37-384f-bef5-4dbf27ee2062,Jen Pawol,108,catcher,False,False,0.1071980021557666,7,bottom,1,0,Ball
823649,2026-03-26,18c036b8-4e5c-38b4-bd1f-3c315f4134b9,Adrian Johnson,121,catcher,False,True,0.17429754587971202,3,top,3,2,Strike
823649,2026-03-26,cdaad1c9-37ed-3ad4-93c3-756534d70b43,Adrian Johnson,121,catcher,False,True,0.09808845312169112,9,top,0,0,Strike
823649,2026-03-26,96f00f56-fd18-3751-98b4-eb4939b0f77c,Adrian Johnson,121,batter,True,False,0.11147891101841712,8,bottom,0,2,Strike
823812,2026-03-26,a1b4c12d-c0d8-36fa-be32-adb1c89a12e7,Mark Wegner,145,catcher,False,True,0.35621279937227635,1,bottom,2,1,Strike
823812,2026-03-26,7c118725-d77d-341b-bc0d-467a72b438c0,Mark Wegner,145,catcher,False,True,0.1372517869691705,2,bottom,0,0,Strike
823812,2026-03-26,539f2ea8-6428-3cdb-9804-342b3ee481ad,Mark Wegner,145,catcher,False,True,0.05514732324597893,2,bottom,1,1,Strike
823812,2026-03-26,dec1c79d-295c-33c9-80af-1ffc916a2c89,Mark Wegner,145,catcher,False,False,0.10587230653511061,6,bottom,1,1,Ball
824704,2026-03-26,5c64dcf6-a20e-346c-89fb-1d6ea14a2dd6,Alan Porter,120,batter,True,True,0.05744330508117447,6,top,1,1,Ball
824704,2026-03-26,6ab3af4f-ded2-35c0-a206-f9e79338b9a9,Alan Porter,120,batter,True,False,0.014305302637105166,9,top,0,0,Strike
824704,2026-03-26,1637d5b3-1715-35e1-a39f-d44aaf9f0890,Alan Porter,120,catcher,False,True,0.1488628567567386,1,bottom,2,0,Strike
824865,2026-03-26,e4fd7020-5f39-381d-8142-79841e1a5f24,Laz Diaz,142,batter,True,True,0.17870827154534452,2,top,0,0,Ball
824865,2026-03-26,bff441a3-0228-30d8-b8b6-4bd11d853e9d,Laz Diaz,142,batter,True,True,0.05530612513456225,4,top,3,0,Ball
824865,2026-03-26,8a5c75f5-3ee4-3d76-9026-e27a31f15af9,Laz Diaz,142,batter,True,True,0.0351317576643503,8,top,0,2,Ball
824865,2026-03-26,f413b584-3d03-3584-b196-49608e5707fe,Laz Diaz,110,batter,True,False,0.1781669406613976,4,bottom,2,2,Strike
824865,2026-03-26,e296d626-b006-3e3e-b664-54c656d406c6,Laz Diaz,142,catcher,False,False,0.07109961064374838,7,bottom,2,2,Ball
824541,2026-03-26,b9f8efd1-7ad6-332e-8938-ac4c96bcc4e6,Dan Iassogna,111,batter,True,True,0.07083900365499309,9,top,3,2,Ball
824541,2026-03-26,3fe1bce3-54d8-366a-a748-69ed1aece720,Dan Iassogna,111,catcher,False,True,0.18637943000476986,4,bottom,2,2,Strike
824541,2026-03-26,15dcffa2-071f-370a-ad62-e203793ef06c,Dan Iassogna,111,catcher,False,False,0.08006018089869961,7,bottom,0,1,Ball
824541,2026-03-26,2428b94a-31f7-3570-ac9b-a7d1e1c6f3f9,Dan Iassogna,113,batter,True,True,0.026488824916708356,7,bottom,1,1,Ball
824218,2026-03-26,de240292-09d8-315f-bdc3-eb0f7d657ddc,Chris Conroy,108,batter,True,False,0.019074112025979625,9,top,1,0,Strike
824218,2026-03-26,423e35f3-2231-3aa6-b64b-db0ef5f7085e,Chris Conroy,108,catcher,False,True,0.13954865845432818,6,bottom,0,1,Strike
824218,2026-03-26,f42162f0-f7e2-3179-8db6-6ea7d9034af5,Chris Conroy,117,batter,True,False,0.04649510887642805,9,bottom,1,2,Strike
823325,2026-03-26,c031e5eb-4c5b-3d45-b5be-dae631d4e0d6,Alfonso Márquez,116,batter,True,True,0.11120413247070395,5,top,0,1,Ball
823081,2026-03-26,77c3406f-ebad-3060-9d95-fd0cae7a5173,Chris Guccione,139,batter,True,True,0.0407510689706332,9,top,0,0,Ball
823081,2026-03-26,da9221db-e3b5-3e95-a99e-3a4e36a24289,Chris Guccione,138,catcher,False,False,0.11454223104246732,9,top,3,1,Ball
823081,2026-03-26,0fbde82a-5972-333a-a2ee-2d24e31246df,Chris Guccione,139,catcher,False,True,0.0659319405130272,6,bottom,0,0,Strike
823486,2026-03-26,554c976a-c1a4-308c-9d5d-5498959bede5,James Hoye,143,pitcher,False,False,0.01083172726304972,8,top,3,2,Ball
823974,2026-03-26,4fa76fa3-f299-3931-9880-93a8cf137a3c,Andy Fletcher,109,batter,True,True,0.014031609036716977,1,top,0,2,Ball
823163,2026-03-26,0fa9f39b-809c-3d4d-8bee-c0644f2da154,Lance Barksdale,114,batter,True,False,0.2502172547659004,3,top,1,2,Strike
823163,2026-03-26,4d14468d-5dfc-3864-b144-c73d6f8978e7,Lance Barksdale,114,catcher,False,True,0.06527544763998894,5,bottom,2,2,Strike
