game_pk,date,hp_umpire,n_challenges
823457,2026-06-04,Vic Carapazza,5
824753,2026-06-04,Marvin Hudson,7
823542,2026-06-04,James Jean,5
823779,2026-06-04,Edwin Jimenez,5
824919,2026-06-04,Carlos Torres,5
823698,2026-06-04,Dan Merzel,3
824672,2026-06-04,Steven Jaschinski,3
824185,2026-06-04,David Rackley,1
825076,2026-06-04,Jordan Baker,4
824673,2026-06-05,Alex Tosi,0
824271,2026-06-05,Erich Bacchus,2
823455,2026-06-05,Roberto Ortiz,5
823538,2026-06-05,Sean Barber,4
822810,2026-06-05,Nic Lentz,1
823860,2026-06-05,Jacob Metz,3
824914,2026-06-05,Ramon De Jesus,8
824186,2026-06-05,Nick Mahrley,4
823049,2026-06-05,Chris Conroy,4
822892,2026-06-05,Nestor Ceja,2
823699,2026-06-05,Dan Bellino,4
824350,2026-06-05,Rob Drake,5
825073,2026-06-05,Ron Kulpa,3
823293,2026-06-05,Chad Whitson,1
823943,2026-06-05,Jen Pawol,6
823649,2026-03-26,Adrian Johnson,3
823812,2026-03-26,Mark Wegner,4
824704,2026-03-26,Alan Porter,3
824865,2026-03-26,Laz Diaz,5
824541,2026-03-26,Dan Iassogna,4
824218,2026-03-26,Chris Conroy,3
823325,2026-03-26,Alfonso Márquez,1
823081,2026-03-26,Chris Guccione,3
823486,2026-03-26,James Hoye,1
823974,2026-03-26,Andy Fletcher,1
823163,2026-03-26,Lance Barksdale,2
823243,2026-03-27,Chad Fairchild,4
822839,2026-03-27,Marvin Hudson,1
823893,2026-03-27,Jordan Baker,3
824946,2026-03-27,Doug Eddings,5
824216,2026-03-27,John Tumpane,4
823324,2026-03-27,Lance Barrett,4
823162,2026-03-27,Will Little,4
823971,2026-03-27,Cory Blaser,4
823082,2026-03-28,David Rackley,3
824701,2026-03-28,Jim Wolf,3
822838,2026-03-28,Tripp Gibson,6
824862,2026-03-28,Brian O'Nora,3
823488,2026-03-28,D.J. Reyburn,5
824540,2026-03-28,CB Bucknor,8
823651,2026-03-28,Quinn Wolcott,1
823892,2026-03-28,Rob Drake,3
824213,2026-03-28,Ben May,4
823811,2026-03-28,Bruce Dreckman,4
824945,2026-03-28,Mike Muchlinski,3
823241,2026-03-28,Chad Whitson,7
823323,2026-03-28,Malachi Moore,5
823973,2026-03-28,Jansen Visconti,3
823161,2026-03-28,Ryan Additon,6
824864,2026-03-29,Chris Segal,10
823487,2026-03-29,Sean Barber,4
824944,2026-03-29,Gabe Morales,3
822837,2026-03-29,Ryan Blakney,3
824538,2026-03-29,Adam Beck,4
823647,2026-03-29,Ramon De Jesus,4
823891,2026-03-29,Stu Scheurwater,3
824215,2026-03-29,Brennan Miller,4
823810,2026-03-29,Carlos Torres,7
823079,2026-03-29,Nestor Ceja,3
824700,2026-03-29,Roberto Ortiz,4
823160,2026-03-29,Ryan Wills,2
824135,2026-03-30,Alex Tosi,4
824863,2026-03-30,Ron Kulpa,5
824539,2026-03-30,Junior Valentine,2
823484,2026-03-30,Nick Mahrley,3
823890,2026-03-30,Emil Jimenez,5
822834,2026-03-30,Erich Bacchus,3
824943,2026-03-30,Dan Bellino,6
824702,2026-03-30,Charlie Ramos,1
823809,2026-03-30,Jeremie Rehak,3
823080,2026-03-30,Vic Carapazza,1
824214,2026-03-30,Nate Tomlinson,3
823320,2026-03-30,Lance Barksdale,4
823159,2026-03-30,Mike Estabrook,5
825108,2026-03-30,Todd Tichenor,3
823972,2026-03-30,Paul Clemons,4
824861,2026-03-31,Scott Barry,2
824537,2026-03-31,Jordan Baker,3
823485,2026-03-31,Marvin Hudson,3
823888,2026-03-31,Doug Eddings,4
822836,2026-03-31,Laz Diaz,7
824942,2026-03-31,Mark Ripperger,2
824699,2026-03-31,Chris Guccione,3
823807,2026-03-31,Dan Iassogna,7
823077,2026-03-31,Hunter Wendelstedt,5
824212,2026-03-31,Mark Wegner,2
825107,2026-03-31,Bill Miller,9
823322,2026-03-31,Will Little,2
823158,2026-03-31,Alfonso Márquez,5
823969,2026-03-31,Adrian Johnson,5
824940,2026-04-01,Shane Livensparger,3
824860,2026-04-01,Manny Gonzalez,5
824536,2026-04-01,Rob Drake,5
823483,2026-04-01,Tripp Gibson,2
822835,2026-04-01,Brian O'Nora,6
823889,2026-04-01,Mike Muchlinski,0
823078,2026-04-01,Nic Lentz,6
823806,2026-04-01,CB Bucknor,1
824211,2026-04-01,Bruce Dreckman,3
824698,2026-04-01,David Rackley,4
825106,2026-04-01,Adam Hamari,1
823321,2026-04-01,Ryan Additon,1
823157,2026-04-01,Lance Barrett,8
824136,2026-04-01,Andy Fletcher,11
823970,2026-04-01,Quinn Wolcott,1
824133,2026-04-02,Cory Blaser,4
825105,2026-04-02,Malachi Moore,3
823242,2026-04-02,Nestor Ceja,2
822758,2026-04-03,Gabe Morales,4
824299,2026-04-03,Carlos Torres,1
823568,2026-04-03,Tom Hanahan,5
824786,2026-04-03,Chris Segal,3
824621,2026-04-03,Stu Scheurwater,3
822919,2026-04-03,Clint Vondrak,1
824458,2026-04-03,Dan Merzel,3
823732,2026-04-03,Ryan Blakney,5
824377,2026-04-03,Jansen Visconti,4
823406,2026-04-03,Jeremie Rehak,4
824056,2026-04-03,Ramon De Jesus,7
825026,2026-04-03,Edwin Moscoso,4
825103,2026-04-03,Mike Estabrook,7
823240,2026-04-03,Charlie Ramos,5
824622,2026-04-04,Junior Valentine,3
824132,2026-04-04,Ryan Wills,5
824134,2026-04-04,Lance Barksdale,6
822757,2026-04-04,Doug Eddings,4
825027,2026-04-04,Vic Carapazza,6
823404,2026-04-04,Dan Iassogna,2
824782,2026-04-04,Erich Bacchus,2
822920,2026-04-04,Todd Tichenor,2
823569,2026-04-04,Ron Kulpa,9
823730,2026-04-04,Nick Mahrley,4
825104,2026-04-04,Alfonso Márquez,2
824378,2026-04-04,Alex Tosi,5
823239,2026-04-04,David Rackley,3
824054,2026-04-04,Paul Clemons,5
824459,2026-04-05,Dan Bellino,6
824460,2026-04-05,Mark Ripperger,6
822756,2026-04-05,Willie Traynor,2
823405,2026-04-05,James Jean,3
824781,2026-04-05,Laz Diaz,3
823566,2026-04-05,Manny Gonzalez,7
823729,2026-04-05,Marvin Hudson,4
824620,2026-04-05,Jordan Baker,2
824131,2026-04-05,Will Little,4
822917,2026-04-05,Bill Miller,1
824379,2026-04-05,Andy Fletcher,5
825025,2026-04-05,Nic Lentz,7
823238,2026-04-05,Edwin Jimenez,3
824053,2026-04-05,Adrian Johnson,9
825102,2026-04-05,Lance Barrett,3
824296,2026-04-05,Mark Wegner,7
823002,2026-04-06,Brian Walsh,3
824456,2026-04-06,Adam Beck,4
823401,2026-04-06,Tripp Gibson,5
823886,2026-04-06,John Libka,1
822755,2026-04-06,Tom Hanahan,4
824783,2026-04-06,Chris Conroy,1
822832,2026-04-06,Shane Livensparger,3
823728,2026-04-06,Rob Drake,5
824619,2026-04-06,Malachi Moore,3
822918,2026-04-06,Alex MacKay,2
824376,2026-04-06,Nestor Ceja,4
824052,2026-04-06,Hunter Wendelstedt,3
823237,2026-04-06,Adam Hamari,5
824457,2026-04-07,Ben May,5
824618,2026-04-07,Mike Estabrook,3
823648,2026-04-07,Brian O'Nora,5
823402,2026-04-07,Ryan Blakney,5
822999,2026-04-07,Chad Fairchild,6
823887,2026-04-07,James Hoye,6
822754,2026-04-07,Derek Thomas,5
824780,2026-04-07,John Tumpane,3
823567,2026-04-07,Bruce Dreckman,8
822831,2026-04-07,Dan Merzel,4
823727,2026-04-07,Quinn Wolcott,5
822916,2026-04-07,Alan Porter,1
824375,2026-04-07,Charlie Ramos,7
824051,2026-04-07,Edwin Moscoso,4
823235,2026-04-07,Clint Vondrak,1
823403,2026-04-08,Nick Mahrley,4
824455,2026-04-08,Dan Iassogna,4
824779,2026-04-08,Brennan Miller,3
824617,2026-04-08,Willie Traynor,4
822915,2026-04-08,Brock Ballou,2
822833,2026-04-08,Dan Bellino,3
